City mpg,Classification,Driveline,Engine Type,Fuel Type,Height,Highway mpg,Horsepower,Hybrid,ID,Length,Make,Model Year,Number of Forward Gears,Torque,Transmission,Width,Year
10,Automatic transmission,Rear-wheel drive,Chevrolet 5.3L 8 Cylinder 310 hp 334 ft-lbs FFV,E85,24,13,310,False,2010 Chevrolet Express LS 1500,60,Chevrolet,2010 Chevrolet Express,4,334,4 Speed Automatic,224,2010
13,Automatic transmission,All-wheel drive,Chevrolet 5.3L 8 Cylinder 310 hp 334 ft-lbs FFV,Gasoline,24,17,310,False,2010 Chevrolet Express LS 1500 AWD,60,Chevrolet,2010 Chevrolet Express,4,334,4 Speed Automatic,224,2010
15,Automatic transmission,Rear-wheel drive,Chevrolet 4.3L 6 Cylinder 195 hp 260 ft-lbs,Gasoline,77,20,195,False,2011 Chevrolet Silverado 1500 Work Truck,102,Chevrolet,2011 Chevrolet Silverado 1500,4,260,4 Speed Automatic,237,2011
14,Automatic transmission,Rear-wheel drive,Chevrolet 4.8L 8 Cylinder 302 hp 305 ft-lbs FFV,Gasoline,82,19,302,False,2011 Chevrolet Silverado 1500 Crew Cab Work Truck,215,Chevrolet,2011 Chevrolet Silverado 1500,4,305,4 Speed Automatic,240,2011
15,Automatic transmission,Rear-wheel drive,Chevrolet 4.3L 6 Cylinder 195 hp 260 ft-lbs,Gasoline,85,20,195,False,2011 Chevrolet Silverado 1500 Extended Cab Work Truck,215,Chevrolet,2011 Chevrolet Silverado 1500,4,260,4 Speed Automatic,237,2011
15,Automatic transmission,Rear-wheel drive,Chevrolet 4.3L 6 Cylinder 195 hp 260 ft-lbs,Gasoline,85,20,195,False,2010 Chevrolet Silverado 1500 Extended Cab Work Truck,215,Chevrolet,2010 Chevrolet Silverado 1500,4,260,4 Speed Automatic,237,2010
15,Automatic transmission,Rear-wheel drive,Chevrolet 4.3L 6 Cylinder 195 hp 260 ft-lbs,Gasoline,77,20,195,False,2010 Chevrolet Silverado 1500 Work Truck,102,Chevrolet,2010 Chevrolet Silverado 1500,4,260,4 Speed Automatic,237,2010
14,Automatic transmission,Rear-wheel drive,Chevrolet 4.8L 8 Cylinder 302 hp 305 ft-lbs FFV,Gasoline,82,19,302,False,2010 Chevrolet Silverado 1500 Crew Cab Work Truck,215,Chevrolet,2010 Chevrolet Silverado 1500,4,305,4 Speed Automatic,240,2010
18,Manual transmission,Rear-wheel drive,Nissan 3.7L 6 Cylinder 350hp 276 ft-lbs,Gasoline,43,26,350,False,2011 Nissan 370Z NISMO,52,Nissan,2011 Nissan 370Z Coupe,6,276,6 Speed Manual,52,2011
18,Manual transmission,Rear-wheel drive,Nissan 3.7L 6 Cylinder 350hp 276 ft-lbs,Gasoline,35,26,350,False,2010 Nissan 370Z NISMO,75,Nissan,2010 Nissan 370Z Coupe,6,276,6 Speed Manual,52,2010
18,Manual transmission,Rear-wheel drive,Nissan 3.7L 6 Cylinder 350hp 276 ft-lbs,Gasoline,35,26,350,False,2009 Nissan 370Z NISMO,75,Nissan,2009 Nissan 370Z Coupe,6,276,6 Speed Manual,52,2009
21,Manual transmission,Front-wheel drive,Volvo 2.5L 5 Cylinder 227 hp 236 ft-lbs Turbo,Gasoline,167,29,227,False,2011 Volvo C30 T5,168,Volvo,2011 Volvo C30,6,236,6 Speed Manual,247,2011
21,Automatic transmission,Front-wheel drive,Volvo 2.5L 5 Cylinder 227 hp 236 ft-lbs Turbo,Gasoline,167,30,227,False,2011 Volvo C30 T5 AT,168,Volvo,2011 Volvo C30,5,236,5 Speed Automatic,247,2011
21,Automatic transmission,Front-wheel drive,Volvo 2.5L 5 Cylinder 227 hp 236 ft-lbs Turbo,Gasoline,167,30,227,False,2010 Volvo C30 T5 AT,155,Volvo,2010 Volvo C30,5,236,5 Speed Automatic,247,2010
21,Manual transmission,Front-wheel drive,Volvo 2.5L 5 Cylinder 227 hp 236 ft-lbs Turbo,Gasoline,167,29,227,False,2010 Volvo C30 T5,155,Volvo,2010 Volvo C30,6,236,6 Speed Manual,247,2010
9,Automatic transmission,Rear-wheel drive,Bentley 6.8L 8 cylinder 530hp 774 ft-lbs Turbo,Gasoline,193,15,530,False,2010 Bentley Brooklands,34,Bentley,2010 Bentley Brooklands,6,774,6 Speed Automatic,107,2010
8,Automatic transmission,All-wheel drive,Bentley 6.0L 12 Cylinder 621 hp 590 ft-lbs FFV Turbo,E85,99,14,621,False,2012 Bentley Continental Supersports Convertible,195,Bentley,2012 Bentley Continental Supersports Convertible,6,590,6 Speed Automatic,153,2012
8,Automatic transmission,All-wheel drive,Bentley 6.0L 12 Cylinder 621 hp 590 ft-lbs FFV Turbo,E85,110,14,621,False,2012 Bentley Continental Supersports Coupe,199,Bentley,2012 Bentley Continental Supersports Coupe,6,590,6 Speed Automatic Select Shift,153,2012
8,Automatic transmission,All-wheel drive,Bentley 6.0L 12 Cylinder 621 hp 590 ft-lbs FFV Turbo,E85,99,14,621,False,2011 Bentley Continental Supersports Convertible,195,Bentley,2011 Bentley Continental Supersports Convertible,6,590,6 Speed Automatic,153,2011
12,Automatic transmission,All-wheel drive,Bentley 6.0L 12 Cylinder 621 hp 590 ft-lbs FFV Turbo,Gasoline,99,19,621,False,2010 Bentley Continental Supersports,195,Bentley,2010 Bentley Continental Supersports,6,590,6 Speed Automatic,153,2010
8,Automatic transmission,All-wheel drive,Bentley 6.0L 12 Cylinder 552 hp 479 ft-lbs FFV Turbo,E85,118,13,552,False,2012 Bentley Continental Flying Spur,170,Bentley,2012 Bentley Continental Flying Spur,6,479,6 Speed Automatic,184,2012
11,Automatic transmission,All-wheel drive,Bentley 6.0L 12 Cylinder 600 hp 553 ft-lbs FFV Turbo,Gasoline,108,19,600,False,2012 Bentley Continental Flying Spur Speed,170,Bentley,2012 Bentley Continental Flying Spur,6,553,6 Speed Automatic,184,2012
10,Automatic transmission,All-wheel drive,Bentley 6.0L 12 Cylinder 600 hp 553 ft-lbs FFV Turbo,Gasoline,185,17,600,False,2011 Bentley Continental Flying Spur Speed,170,Bentley,2011 Bentley Continental Flying Spur,6,553,6 Speed Automatic,184,2011
10,Automatic transmission,All-wheel drive,Bentley 6.0L 12 cylinder 600hp 553 ft-lbs Turbo,Gasoline,185,17,600,False,2010 Bentley Continental Flying Spur Speed,170,Bentley,2010 Bentley Continental Flying Spur,6,553,6 Speed Automatic,184,2010
10,Automatic transmission,All-wheel drive,Bentley 6.0L 12 cylinder 552 hp 479 ft-lbs Turbo,Gasoline,195,17,552,False,2010 Bentley Continental Flying Spur,170,Bentley,2010 Bentley Continental Flying Spur,6,479,6 Speed Automatic,184,2010
19,Automatic transmission,Front-wheel drive,Volvo 2.5L 5 Cylinder 227 hp 236 ft-lbs Turbo,Gasoline,120,28,227,False,2011 Volvo C70 T5,7,Volvo,2011 Volvo C70,5,236,5 Speed Automatic,44,2011
20,Manual transmission,Front-wheel drive,Volvo 2.5L 5 Cylinder 227 hp 236 ft-lbs Turbo,Gasoline,119,28,227,False,2010 Volvo C70 T5,230,Volvo,2010 Volvo C70,6,236,6 Speed Manual,44,2010
19,Automatic transmission,Front-wheel drive,Volvo 2.5L 5 Cylinder 227 hp 236 ft-lbs Turbo,Gasoline,119,28,227,False,2010 Volvo C70 T5 AT,230,Volvo,2010 Volvo C70,5,236,5 Speed Automatic,44,2010
21,Manual transmission,Front-wheel drive,Volvo 2.4L 5 Cylinder 168 hp 166 ft-lbs,Gasoline,172,29,168,False,2010 Volvo S40 2.4i,123,Volvo,2010 Volvo S40,5,170,5 Speed Manual,234,2010
21,Automatic transmission,Front-wheel drive,Volvo 2.5L 5 Cylinder 227 hp 236 ft-lbs Turbo,Gasoline,172,30,227,False,2010 Volvo S40 R-Design,123,Volvo,2010 Volvo S40,5,236,5 Speed Automatic,234,2010
21,Automatic transmission,Front-wheel drive,Volvo 2.5L 5 Cylinder 227 hp 236 ft-lbs Turbo,Gasoline,172,30,227,False,2011 Volvo S40 T5,123,Volvo,2011 Volvo S40,5,236,5 Speed Automatic,234,2011
20,Manual transmission,All-wheel drive,Volvo 2.5L 5 Cylinder 227 hp 236 ft-lbs Turbo,Gasoline,190,27,227,False,2010 Volvo S40 R-Design AWD,123,Volvo,2010 Volvo S40,6,236,6 Speed Manual,234,2010
20,Automatic transmission,Front-wheel drive,Volvo 2.5L 5 Cylinder 250 hp 266 ft-lbs Turbo,Gasoline,203,30,250,False,2012 Volvo S60 T5,19,Volvo,2012 Volvo S60,6,266,6 Speed Automatic Select Shift,72,2012
18,Automatic transmission,All-wheel drive,Volvo 3.0 L 6 Cylinder 300 HP 325 ft-lbs Turbo,Gasoline,203,26,300,False,2012 Volvo S60 T6 AWD,19,Volvo,2012 Volvo S60,6,325,6 Speed Automatic Select Shift,72,2012
18,Automatic transmission,All-wheel drive,Volvo 3.0 L 6 Cylinder 325 HP 354 ft-lbs Turbo,Gasoline,203,26,325,False,2012 Volvo S60 R-Design,19,Volvo,2012 Volvo S60,6,354,6 Speed Automatic Select Shift,72,2012
18,Automatic transmission,All-wheel drive,Volvo 3.0 L 6 Cylinder 300 HP 325 ft-lbs Turbo,Gasoline,203,26,300,False,2011 Volvo S60 T6 AWD,14,Volvo,2011 Volvo S60,6,325,6 Speed Automatic,72,2011
19,Automatic transmission,Front-wheel drive,Volvo 3.2 L 6 cylinder 240 hp 236 ft-lbs,Gasoline,213,27,240,False,2011 Volvo S80 3.2,243,Volvo,2011 Volvo S80,6,236,6 Speed Automatic Select Shift,69,2011
15,Automatic transmission,All-wheel drive,Volvo 4.4L 8 Cylinder 311 hp 325 ft-lbs,Gasoline,213,22,311,False,2010 Volvo S80 V8,243,Volvo,2010 Volvo S80,6,325,6 Speed Automatic,69,2010
16,Automatic transmission,All-wheel drive,Volvo 3.0L 6 Cylinder 281 hp 295 ft-lbs Turbo,Gasoline,213,24,281,False,2010 Volvo S80 T6 AWD,243,Volvo,2010 Volvo S80,6,295,6 Speed Automatic Select Shift,69,2010
18,Automatic transmission,Front-wheel drive,Volvo 3.2L 6 Cylinder 235 hp 236 ft-lbs,Gasoline,213,27,235,False,2010 Volvo S80 3.2,243,Volvo,2010 Volvo S80,6,236,6 Speed Automatic,69,2010
21,Automatic transmission,Front-wheel drive,Volvo 2.5L 5 Cylinder 227 hp 236 ft-lbs Turbo,Gasoline,177,30,227,False,2011 Volvo V50 T5,169,Volvo,2011 Volvo V50,5,236,5 Speed Automatic,234,2011
20,Manual transmission,All-wheel drive,Volvo 2.5L 5 Cylinder 227 hp 236 ft-lbs Turbo,Gasoline,193,26,227,False,2010 Volvo V50 R-Design,169,Volvo,2010 Volvo V50,6,236,6 Speed Manual,234,2010
20,Automatic transmission,Front-wheel drive,Volvo 2.4L 5 Cylinder 168 hp 166 ft-lbs,Gasoline,177,31,168,False,2010 Volvo V50 2.4i,169,Volvo,2010 Volvo V50,5,170,5 Speed Automatic Select Shift,234,2010
17,Automatic transmission,All-wheel drive,Volvo 3.0 L 6 Cylinder 300 HP 325 ft-lbs Turbo,Gasoline,175,22,300,False,2011 Volvo XC60 T6 AWD,19,Volvo,2011 Volvo XC60,6,325,6 Speed Automatic,97,2011
18,Automatic transmission,Front-wheel drive,Volvo 3.2 L 6 cylinder 240 hp 236 ft-lbs,Gasoline,175,25,240,False,2011 Volvo XC60 3.2,19,Volvo,2011 Volvo XC60,6,236,6 Speed Automatic,97,2011
16,Automatic transmission,All-wheel drive,Volvo 3.0L 6 Cylinder 281 hp 295 ft-lbs Turbo,Gasoline,175,21,281,False,2010 Volvo XC60 T6 AWD,19,Volvo,2010 Volvo XC60,6,295,6 Speed Automatic Select Shift,97,2010
18,Automatic transmission,Front-wheel drive,Volvo 3.2L 6 Cylinder 235 hp 236 ft-lbs,Gasoline,175,27,235,False,2010 Volvo XC60 3.2,19,Volvo,2010 Volvo XC60,6,236,6 Speed Automatic,97,2010
18,Automatic transmission,Front-wheel drive,Volvo 3.2 L 6 cylinder 240 hp 236 ft-lbs,Gasoline,66,25,240,False,2011 Volvo XC70 3.2,230,Volvo,2011 Volvo XC70,6,236,6 Speed Automatic,69,2011
17,Automatic transmission,All-wheel drive,Volvo 3.0 L 6 Cylinder 300 HP 325 ft-lbs Turbo,Gasoline,66,22,300,False,2011 Volvo XC70 T6 AWD,230,Volvo,2011 Volvo XC70,6,325,6 Speed Automatic,69,2011
16,Automatic transmission,All-wheel drive,Volvo 3.0L 6 Cylinder 281 hp 295 ft-lbs Turbo,Gasoline,66,21,281,False,2010 Volvo XC70 T6 AWD,230,Volvo,2010 Volvo XC70,6,295,6 Speed Automatic,69,2010
16,Automatic transmission,All-wheel drive,Volvo 3.2L 6 Cylinder 235 hp 236 ft-lbs,Gasoline,66,22,235,False,2010 Volvo XC70 3.2,230,Volvo,2010 Volvo XC70,6,236,6 Speed Automatic,69,2010
17,Automatic transmission,Rear-wheel drive,Toyota 4.0L 6 Cylinder 270 hp 278 ft-lbs,Gasoline,24,23,270,False,2011 Toyota 4Runner SR5,216,Toyota,2011 Toyota 4Runner,5,278,5 Speed Automatic,133,2011
17,Automatic transmission,Four-wheel drive,Toyota 4.0L 6 Cylinder 270 hp 278 ft-lbs,Gasoline,24,22,270,False,2011 Toyota 4Runner SR5 4WD,216,Toyota,2011 Toyota 4Runner,5,278,5 Speed Automatic,24,2011
17,Automatic transmission,Four-wheel drive,Toyota 4.0L 6 Cylinder 270 hp 278 ft-lbs,Gasoline,93,22,270,False,2011 Toyota 4Runner Trail,216,Toyota,2011 Toyota 4Runner,5,278,5 Speed Automatic,133,2011
17,Automatic transmission,Rear-wheel drive,Toyota 4.0L 6 Cylinder 270 hp 278 ft-lbs,Gasoline,24,23,270,False,2011 Toyota 4Runner Limited,216,Toyota,2011 Toyota 4Runner,5,278,5 Speed Automatic,133,2011
17,Automatic transmission,Four-wheel drive,Toyota 4.0L 6 Cylinder 270 hp 278 ft-lbs,Gasoline,24,22,270,False,2011 Toyota 4Runner  Limited 4WD,216,Toyota,2011 Toyota 4Runner,5,278,5 Speed Automatic,133,2011
16,Automatic transmission,Front-wheel drive,Volvo 3.2 L 6 cylinder 240 hp 236 ft-lbs,Gasoline,247,22,240,False,2011 Volvo XC90 3.2,200,Volvo,2011 Volvo XC90,6,236,6 Speed Automatic,105,2011
14,Automatic transmission,All-wheel drive,Volvo 4.4L 8 Cylinder 311 hp 325 ft-lbs,Gasoline,247,21,311,False,2011 Volvo XC90 V8,200,Volvo,2011 Volvo XC90,6,325,6 Speed Automatic,105,2011
15,Automatic transmission,Front-wheel drive,Volvo 3.2L 6 Cylinder 235 hp 236 ft-lbs,Gasoline,247,22,235,False,2010 Volvo XC90 3.2,200,Volvo,2010 Volvo XC90,6,236,6 Speed Automatic,105,2010
13,Automatic transmission,All-wheel drive,Volvo 4.4L 8 Cylinder 311 hp 325 ft-lbs,Gasoline,247,19,311,False,2010 Volvo XC90 V8,200,Volvo,2010 Volvo XC90,6,325,6 Speed Automatic,105,2010
18,Automatic transmission,Front-wheel drive,Volvo 3.2L 6 Cylinder 235 hp 236 ft-lbs,Gasoline,10,27,235,False,2010 Volvo V70 3.2,215,Volvo,2010 Volvo V70,6,236,6 Speed Automatic,69,2010
18,Automatic transmission,Rear-wheel drive,Toyota 2.7L 4 Cylinder 157 hp 178 ft-lbs,Gasoline,24,23,157,False,2010 Toyota 4Runner SR5,216,Toyota,2010 Toyota 4Runner,4,178,4 Speed Automatic,133,2010
17,Automatic transmission,Rear-wheel drive,Toyota 4.0L 6 Cylinder 270 hp 278 ft-lbs,Gasoline,24,23,270,False,2010 Toyota 4Runner SR5 V6,216,Toyota,2010 Toyota 4Runner,5,278,5 Speed Automatic,133,2010
17,Automatic transmission,Four-wheel drive,Toyota 4.0L 6 Cylinder 270 hp 278 ft-lbs,Gasoline,24,22,270,False,2010 Toyota 4Runner SR5 V6 4WD,216,Toyota,2010 Toyota 4Runner,5,278,5 Speed Automatic,133,2010
17,Automatic transmission,Four-wheel drive,Toyota 4.0L 6 Cylinder 270 hp 278 ft-lbs,Gasoline,93,22,270,False,2010 Toyota 4Runner Trail,216,Toyota,2010 Toyota 4Runner,5,278,5 Speed Automatic,133,2010
17,Automatic transmission,Rear-wheel drive,Toyota 4.0L 6 Cylinder 270 hp 278 ft-lbs,Gasoline,24,23,270,False,2010 Toyota 4Runner Limited,216,Toyota,2010 Toyota 4Runner,5,278,5 Speed Automatic,133,2010
17,Automatic transmission,Four-wheel drive,Toyota 4.0L 6 Cylinder 270 hp 278 ft-lbs,Gasoline,24,22,270,False,2010 Toyota 4Runner Limited 4WD,216,Toyota,2010 Toyota 4Runner,5,278,5 Speed Automatic,133,2010
21,Manual transmission,Front-wheel drive,Audi 2.0L 4 cylinder 200 hp 207 ft-lbs Turbo,Gasoline,143,30,200,False,2012 Audi A3 2.0 T,196,Audi,2012 Audi A3,6,207,6 Speed Manual,203,2012
17,Manual transmission,Front-wheel drive,Honda 3.5L 6 Cylinder 271hp 251 ft-lbs,Gasoline,152,25,271,False,2010 Honda Accord EX-L V-6 Coup,240,Honda,2010 Honda Accord Coupe,6,251,6 Speed Manual,57,2010
21,Automatic transmission,Front-wheel drive,Honda 2.4L 4 cylinder 190 hp 162 ft-lbs,Gasoline,152,31,190,False,2010 Honda Accord EX Coup AT,240,Honda,2010 Honda Accord Coupe,5,162,5 Speed Automatic,57,2010
22,Manual transmission,Front-wheel drive,Honda 2.4L 4 cylinder 190 hp 162 ft-lbs,Gasoline,152,31,190,False,2010 Honda Accord EX-L Coup,240,Honda,2010 Honda Accord Coupe,5,162,5 Speed Manual,57,2010
21,Automatic transmission,Front-wheel drive,Honda 2.4L 4 cylinder 190 hp 162 ft-lbs,Gasoline,152,31,190,False,2010 Honda Accord EX-L Coup AT,240,Honda,2010 Honda Accord Coupe,5,162,5 Speed Automatic,57,2010
19,Automatic transmission,Front-wheel drive,Honda 3.5L 6 Cylinder 271hp 251 ft-lbs,Gasoline,152,28,271,False,2010 Honda Accord EX-L V-6 Coup AT,240,Honda,2010 Honda Accord Coupe,5,251,5 Speed Automatic,57,2010
22,Manual transmission,Front-wheel drive,Honda 2.4L 4 cylinder 190 hp 162 ft-lbs,Gasoline,152,31,190,False,2010 Honda Accord EX Coup,240,Honda,2010 Honda Accord Coupe,5,162,5 Speed Manual,57,2010
21,Automatic transmission,Front-wheel drive,Honda 2.4L 4 cylinder 190 hp 162 ft-lbs,Gasoline,152,31,190,False,2010 Honda Accord LX-S Coup AT,240,Honda,2010 Honda Accord Coupe,5,162,5 Speed Automatic,57,2010
22,Manual transmission,Front-wheel drive,Honda 2.4L 4 cylinder 190 hp 162 ft-lbs,Gasoline,152,31,190,False,2010 Honda Accord LX-S Coup,240,Honda,2010 Honda Accord Coupe,5,162,5 Speed Manual,57,2010
18,Manual transmission,Rear-wheel drive,Nissan 3.7L 6 Cylinder 332 hp 270 ft-lbs,Gasoline,45,25,332,False,2011 Nissan 370Z Roadster,150,Nissan,2011 Nissan 370Z Roadster,6,270,6 Speed Manual,57,2011
18,Automatic transmission,Rear-wheel drive,Nissan 3.7L 6 Cylinder 332 hp 270 ft-lbs,Gasoline,45,25,332,False,2011 Nissan 370Z Roadster AT,150,Nissan,2011 Nissan 370Z Roadster,7,270,7 Speed Automatic Select Shift,57,2011
18,Manual transmission,Rear-wheel drive,Nissan 3.7L 6 Cylinder 332 hp 270 ft-lbs,Gasoline,45,25,332,False,2011 Nissan 370Z Touring Roadster,150,Nissan,2011 Nissan 370Z Roadster,6,270,6 Speed Manual,57,2011
